Meeting,No.,Ag. Items,Ag. Items.1,Ag. Items.2,Title,Submitted By,Submitted By.1,Submitted By.2,Submitted By.3,Submitted By.4,Submitted By.5,Submitted By.6,Submitted By.7,Submitted By.8,Submitted By.9,Submitted By.10,Submitted By.11,Submitted By.12,Submitted By.13,E,S,F,R,Attachments
ATCM XLV - CEP XXV (2023),IP001,CEP 5,,,Report by the CEP Observer to the XXXVII SCAR Delegates’ Meeting,France,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP002,ATCM 4,,,Report by the CCAMLR Observer to the Forty Fifth Antarctic Treaty Consultative Meeting,CCAMLR,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP003 rev. 1,ATCM 4,,,"Report by the United Kingdom as Depositary Government for the Convention for the Conservation of Antarctic Seals (CCAS) in Accordance with Recommendation XIII-2, Paragraph 2(d) 2021/22",United Kingdom,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP004,ATCM 4,,,Report of the Depositary Government of the Antarctic Treaty and its Protocol in accordance with Recommendation XIII-2,United States,,,,,,,,,,,,,,X,X,X,X,"1. Antarctic Treaty Status Table
2. Environmental Protocol Status Table
3. Annex V Status Table
4. Annex VI Status Table
5. Amendment of Annex II Status Table
6. List of Recommendations/Measures and their approvals
"
ATCM XLV - CEP XXV (2023),IP005,ATCM 6a,,,Republic of Belarus in the System of the Antarctic Treaty. Justification of the status of the Consultative Party of the Antarctic Treaty,Belarus,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP006,CEP 5,,,Report by the SC-CAMLR Observer to the CEP,CCAMLR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP007,ATCM 4,CEP 5,,The Council of Managers of National Antarctic Programs (COMNAP) Annual Report 2022/23,COMNAP,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP008,ATCM 6c,,,Preliminary Survey Responses Regarding Implementation of IMO Polar Code. National Antarctic Programme vessels,COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP009,CEP 10a,,,Topic Summary: CEP Discussions on Ship Biofouling and Ballast Water Management ,Australia,New Zealand,United Kingdom,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP010 rev. 1,ATCM 4,CEP 5,,The Scientific Committee on Antarctic Research Annual Report 2023 to the XLV Antarctic Treaty Consultative Meeting,SCAR,,,,,,,,,,,,,,X,X,X,X,"SCAR Annual Report 2023 Infographic
"
ATCM XLV - CEP XXV (2023),IP011,ATCM 17,,,"Workshop “The future of Antarctic tourism: towards a strategic vision and policy program”, 8-10 March 2023, Paris - Chair’s report
",France,Netherlands,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP012,ATCM 15,ATCM 6b,,Update on Canada’s Engagement in the Antarctic,Canada,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP013,ATCM 4,,,Report of the Depositary Government for the Agreement on the Conservation of Albatrosses and Petrels (ACAP),Australia,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP014,ATCM 4,,,Report of the Depositary Government for the Convention on the Conservation of Antarctic Marine Living Resources (CCAMLR),Australia,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP015,ATCM 13,ATCM 16,ATCM 4,"Report by the International Hydrographic Organization (IHO)
",IHO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP016,ATCM 4,CEP 5,,Annual Report of the World Meteorological Organization (WMO),WMO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP017,ATCM 15,,,Gender Perspective and Actions in the Antarctic Scientific Expedition of the Chilean Antarctic Institute,Chile,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP018,ATCM 13,,,Presence of SARS-CoV-2 in waste water in Antarctica and risk assessment.,Chile,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP019,ATCM 13,,,"Intervention on the runway of the ""Teniente Marsh"" airfield of the ""Presidente Frei"" Antarctic Air Base",Chile,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP020,ATCM 13,CEP 13,,"Renewal of the Norwegian Troll Research Station, Dronning Maud Land",Norway,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP021 rev. 1,ATCM 13,,,Report on the Deaths of Four U.S. Citizen Tourists in Three Incidents,United States,Netherlands,Norway,Portugal,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP022,CEP 9e,,,Contributions to the promotion and awareness of the care of palaeontological heritage in the Antarctic region,Argentina,,,,,,,,,,,,,,X,X,X,X,"Folleto (Brochure)
"
ATCM XLV - CEP XXV (2023),IP023 rev. 1,ATCM 13,CEP 10a,,Need for Rapid Detection of Avian Influenza Virus in Antarctic Wildlife,Korea (ROK),,,,,,,,,,,,,,X,,,,"AIV Ag Rapid Kit 2.0 manufacturer manual
"
ATCM XLV - CEP XXV (2023),IP024,ATCM 15,,,Scientific and Science-related Cooperation with the Antarctic Community and Responses to COVID-19,Korea (ROK),,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP025,ATCM 6d,CEP 7a,,Logistical Challenges due to Changing Environmental Conditions: Experiences from the Korean Antarctic Program 2022-23,Korea (ROK),,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP026,ATCM 15,,,First inventory of unintentional persistent organic pollutants emission in Antarctica,Belarus,,,,,,,,,,,,,,X,,,X,
ATCM XLV - CEP XXV (2023),IP027,CEP 8b,,,The retrospective modeling as an approach to cumulative impacts assessment due to operation of scientific stations in the Antarctic ,Belarus,,,,,,,,,,,,,,X,,,X,
ATCM XLV - CEP XXV (2023),IP028,ATCM 15,CEP 13,,Further Plans of the Year of Polar Prediction in the Southern Hemisphere (YOPP-SH) and Completion of the Polar Prediction Project,WMO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP029,ATCM 15,,,The 4th Basic Plan for the Promotion of Research Activities in Antarctica of the Republic of Korea (2022-2026),Korea (ROK),,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP030,ATCM 13,CEP 8b,,"Report on the Replacement of the Cape Shirreff Field Camp, Livingston Island, Antarctica",United States,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP031 rev. 1,ATCM 15,,,ASPAs 152/153: Western Bransfield Strait and Dallmann Bay: Highlights of Scientific Research Results,United States,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP032,CEP 11,,,Mercury in Antarctic marine ecosystems,Portugal,Bulgaria,France,Germany,Japan,United Kingdom,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP033,ATCM 15,CEP 10c,,Scientific use of Remotely Piloted Aircraft Systems (RPAS) in Antarctica: a review,Portugal,Germany,United Kingdom,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP034,ATCM 11,CEP 13,,Topics and target audiences on education and outreach activities by the Antarctic Treaty Parties: a review,Portugal,Belgium,Bulgaria,Chile,Spain,United Kingdom,WMO,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP035,CEP 13,,,"Conclusions of the UN Ocean Conference 2022 in Lisbon, Portugal",Portugal,France,Sweden,WMO,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP036,ATCM 11,,,Report of the activities of Polar Educators International (PEI): 2012-2022,Portugal,India,Italy,Poland,SCAR,United Kingdom,United States,WMO,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP037,ATCM 11,,,Association of Polar Early Career Scientists (APECS): An overview of the first 15 years,Portugal,Australia,Belgium,Bulgaria,Canada,France,Germany,Netherlands,Norway,SCAR,South Africa,Türkiye,United Kingdom,WMO,X,,,,
ATCM XLV - CEP XXV (2023),IP038,ATCM 6d,,,ATCM-CEP Joint Session on Climate Change: Portugal´s research and policy activities on climate change,Portugal,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP039,ATCM 13,CEP 10a,,United Kingdom procedures for preventing the introduction or spread of Highly Pathogenic Avian Influenza in Antarctica,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP040,ATCM 17,,,Data Collection and Reporting on Yachting Activity in Antarctica in 2022-23,United Kingdom,Argentina,Chile,United States,IAATO,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP041,CEP 10a,,,"Monitoring and eradication of a non-native grass, Poa annua, from the Western Shore of Admiralty Bay, King George Island, South Shetland Islands - 2022/2023 update",Poland,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP042 rev. 1,CEP 10a,,,Report of a finding of Trichocera maculipennis in Antarctic Specially Protected Area 128,Poland,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP043,ATCM 18,,,"Hosting of the 46th Antarctic Treaty Consultative Meeting (ATCM) at Kochi, India, 2024",India,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP044,ATCM 11,,,Indian Polar Education and Outreach Endeavours,India,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP045,CEP 7a,,,Managing threats to Antarctic terrestrial biodiversity,Australia,Belgium,France,Japan,New Zealand,Norway,Spain,United Kingdom,United States,SCAR,ASOC,IAATO,,,X,,,,
ATCM XLV - CEP XXV (2023),IP046,ATCM 14,CEP 12,,"Report of Informal UK Government Inspection of Base A, Port Lockroy",United Kingdom,,,,,,,,,,,,,,X,,,,"Report of Informal UK Government Inspection of Base A, Port Lockroy
"
ATCM XLV - CEP XXV (2023),IP047,ATCM 15,,,"Summary of SCAR’s Strategic Plan 2023-2028
",SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP048,CEP 9e,,,Systematic Conservation Plan for the Antarctic Peninsula Project Updates and Next Steps,SCAR,IAATO,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP049,ATCM 15,,,"SCAR Lecture: ""Satellite-based science and the changing nature of what it means to “explore” Antarctica""",SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP050,ATCM 15,,,Plans for a fifth International Polar Year 2032/33,SCAR,WMO,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP051,ATCM 17,CEP 10c,,IAATO Operational Procedures for responsible wildlife watching – An update,IAATO,,,,,,,,,,,,,,X,,,,"IAATO Operational Procedures for viewing birds (Attachment B)
IAATO Operational Procedures for viewing seals (Attachment C)
IAATO Operational Procedures for visiting Emperor Penguin Colonies (Attachment D)
IAATO Operational Procedures for Watching Whales (Attachment E)
IAATO Operational Procedures for Wildlife Watching (Attachment A)
IAATO Overarching Principles for Wildlife Watching (Attachment G)
IAATO Procedures Upon the Discovery of a High or Unusual Mortality Event (Attachment F)
"
ATCM XLV - CEP XXV (2023),IP052,ATCM 17,CEP 10a,,IAATO Deep Field and Air Operations Biosecurity Procedures –¬ An update,IAATO,,,,,,,,,,,,,,X,,,,"IAATO Biosecurity Procedures for Deep Field and Air Operators
"
ATCM XLV - CEP XXV (2023),IP053,ATCM 17,CEP 9c,,A Five-Year Overview and 2022-23 Season Report on IAATO Operator Use of Antarctic Peninsula Landing Sites and ATCM Visitor Site Guidelines,IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP054,ATCM 11,,,"IAATO Education, Outreach and Ambassadorship",IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP055,ATCM 17,ATCM 4,CEP 5,Report of the International Association of Antarctica Tour Operators 2022-23,IAATO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP056,ATCM 17,,,"IAATO Overview of Antarctic Tourism: The 2022-23 Season, and Preliminary Estimates for 2023-24",IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP057,ATCM 17,,,"
IAATO Deep Field and Air Overview of Antarctic Tourism: 2022-23 Season and Preliminary Estimates for 2023-24 Season
",IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP058,ATCM 13,ATCM 17,ATCM 6c,Implementation of the IMO Polar Code: A practical perspective,IAATO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP059,ATCM 15,CEP 11,,International Science & Infrastruc-ture for Synchronous Observation (Antarctica InSync),Germany,Australia,France,Italy,Norway,United Kingdom,United States,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP060,CEP 9a,,,"Elaboration of an ASPA Draft Management Plan for Otto-von-Gruber-Gebirge, Dronning Maud Land, East Antarctica",Germany,United States,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP061,CEP 11,,,Current initiatives for a structured sample and data collection of envi-ronmental contamination in the Ant-arctic,Germany,Australia,Italy,Portugal,Sweden,United Kingdom,United States,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP062,ATCM 17,CEP 11,,Tourism monitoring in Antarctica – Report on the progress in developing a concept for the analysis of the impacts of tourism on the assets to be protected in the Antarctic,Germany,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP063,CEP 10c,,,"Update: Managing the Effects of an-thropogenic noise in the Antarctic – Steps towards the development of an underwater noise protection concept for Antarctica
",Germany,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP064,ATCM 6d,CEP 7a,,Decarbonizing Antarctic Operations: best practices for renewable energy deployment at Antarctic research stations,ASOC,Uruguay,,,,,,,,,,,,,X,,,,"Scientific paper
"
ATCM XLV - CEP XXV (2023),IP065,CEP 11,,,Environmental Field Reviews: Supporting Monitoring Obligations and the Environmental Impact Assessment Feedback Process,United States,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP066,CEP 6,,,"Antarctic Ecosystem Recovery: Recolonization of Adélie Penguins at Cape Hallett (ASPA No. 106), Ross Sea",Korea (ROK),New Zealand,United States,,,,,,,,,,,,X,,,,"Kim et al. Scientific paper
"
ATCM XLV - CEP XXV (2023),IP067,ATCM 6c,,,"Implementing the Polar Code: Gaps and Challenges
",Spain,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP068,ATCM 11,,,Live from Antarctica: The National Science Foundation’s Education and Outreach Event,United States,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP069,ATCM 6c,,,Implementation of the International Code for Ships Operating in Polar Waters in vessels flying a Chilean flag and their control in Chilean jurisdiction waters,Chile,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),IP070,CEP 9a,,,"Analysis of the current status of the Antarctic Specially Protected Area No. 144, Chile Bay (Discovery Bay), Greenwich Island",Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP071,ATCM 15,,,Australian Antarctic Science Program Highlights 2022-23,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP072,ATCM 16,ATCM 6d,,Australia’s Antarctic climate science,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP073,ATCM 6d,,,Addressing critical knowledge gaps identified by the IPCC in Antarctica’s future contribution to sea level rise by international collaboration,Norway,SCAR,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP074,ATCM 15,CEP 13,,The Ice Memory Programme,France,Italy,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP075,CEP 11,,,Antarctic Environments Portal,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP076,CEP 9e,,,Report of the management group for Antarctic Specially Managed Area (ASMA) No. 4 Deception Island for the period 2022/23,Spain,Argentina,Chile,Norway,United Kingdom,United States,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP077,ATCM 15,,,"The SCAR Equality, Diversity and Inclusion Action Group",SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP078,CEP 11,,,Plastic Pollution in the Southern Ocean,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP079,CEP 4,,,Committee for Environmental Protection (CEP): summary of activities during the 2022/23 intersessional period,Norway,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP080,ATCM 13,,,MSI broadcasting of NAVAREA VI through the World Wide Navigational Warning System (WWNWS),Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP081,ATCM 13,,,AIS AtoN installation in the Antarctic by the Argentine Republic (2011-2023 Programme),Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP082,ATCM 13,CEP 8b,,"Finalizing the construction of the gravel runway in the area of Mario Zucchelli Station, Terra Nova Bay, Victoria Land, Antarctica",Italy,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP083,ATCM 13,,,Report on the 25th edition of the Joint Antarctic Naval Patrol between Chile and Argentina - 2022/2023,Chile,Argentina,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP084,ATCM 15,,,Progress of the activities of the Beyond EPICA Oldest Ice project,Italy,France,Germany,Netherlands,Norway,Sweden,United Kingdom,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP085,ATCM 13,,,Natural Hazards Awareness in Antarctica: An update on the COMNAP project,COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP086,ATCM 13,,,COMNAP Search and Rescue (SAR) Workshop 5 (2023),COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP087,ATCM 15,,,The First Basic Plan for the Promotion of Polar Activities of the Republic of Korea (2023-2027),Korea (ROK),,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP088,ATCM 15,,,Update on the Australian Antarctic Strategy and 20 Year Action Plan and major initiatives,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP089,CEP 10b,,,Draft Specially Protected Species Action Plan for the Emperor Penguin: complementary actions by Australia,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP090,CEP 9e,,,The need for increased protection of Antarctica’s inland waters,New Zealand,Spain,United Kingdom,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP091,ATCM 17,,,Competent authorities discussion forum on tourism regulatory activities: report by the convener,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP092,ATCM 6c,,,Australian experience with implementation of the International Code for Ships Operating in Polar Waters (Polar Code) ,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP093,ATCM 6d,CEP 7a,,Antarctica 2300 (ISMIP6) Projections ,WMO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP094,ATCM 6d,CEP 7a,,The Climate and Cryosphere (CliC) Project of the World Climate Research Programme (WCRP),WMO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP095,ATCM 6d,CEP 7a,,Understanding Future Sea-level Change Around Antarctica,SCAR,COMNAP,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP096,ATCM 13,,,Seismic activity and associated risk in Antarctica,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP097,ATCM 6d,CEP 7a,,Policy-relevant science highlights from the Antarctic CORDEX project,WMO,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP098,CEP 7a,,,"Marine Ecosystem Assessment for the Southern Ocean (MEASO) - Key Findings and Recommendations
",SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP099,ATCM 13,,,Renovation of the Deception Island Volcanic Surveillance Network,Spain,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP100,CEP 11,,,Anthropogenic noise in Antarctic terrestrial environments,SCAR,,,,,,,,,,,,,,X,X,,,
ATCM XLV - CEP XXV (2023),IP101,CEP 10a,,,Heightened Risk of Avian Influenza in the Antarctic Treaty Area ,SCAR,IAATO,COMNAP,,,,,,,,,,,,X,,,,
ATCM XLV - CEP XXV (2023),IP102,CEP 7b,,,Assessing the risk of climate change impacts on Antarctic heritage values: an update on progress,Argentina,Australia,New Zealand,Norway,United Kingdom,SCAR,,,,,,,,,X,,,,"Climate Change & Heritage Vulnerability Resources
"
